indice,vecteur
100,0.0377807617185194 0.05554199218716099 0.04370117187473327 0.12298583984299935 0.23809814452979675 0.16076660156151876 0.07513427734329141 0.06939697265582644 0.08129882812450379 0.11529541015554629
101,0.02093505859362222 0.0433349609372355 0.03808593749976754 0.126647949217977 0.2973022460919354 0.1908569335925851 0.07574462890578769 0.060607910155880074 0.06671142578084283 0.0797729492182631
110,0.04077148437475115 0.064880371093354 0.04962158203094713 0.1157836914055433 0.20727539062373487 0.15838623046778327 0.07116699218706563 0.07489013671829291 0.0922241210931871 0.12499999999923705
111,0.04248046874974072 0.061645507812123745 0.04626464843721762 0.11535644531179591 0.21972656249865888 0.16015624999902248 0.0655517578120999 0.07409667968704775 0.08673095703072063 0.1279907226554688
120,0.024902343749848007 0.0520019531246826 0.03063964843731299 0.1133422851555582 0.3408203124979198 0.1755371093739286 0.05139160156218633 0.05786132812464684 0.06561279296834953 0.08789062499946355
121,0.025329589843595398 0.049804687499696014 0.03283691406229958 0.11340332031180783 0.3392333984354295 0.17071533203020803 0.052246093749681116 0.0544433593746677 0.07226562499955892 0.08972167968695238
122,0.026123046874840558 0.047119140624712404 0.03668212890602611 0.1188964843742743 0.32446289062301964 0.17480468749893308 0.05609130859340764 0.05682373046840317 0.06774902343708648 0.09124755859319307
123,0.02819824218732789 0.05499267578091435 0.03527832031228468 0.11175537109306789 0.32055664062304345 0.16479492187399417 0.05407714843716994 0.06249999999961853 0.07373046874954998 0.09411621093692556
130,0.03851318359351493 0.057006835937152056 0.04364013671848364 0.11059570312432497 0.24188232421727365 0.15570068359279968 0.07336425781205222 0.07702636718702986 0.08386230468698815 0.11840820312427729
131,0.03497314453103654 0.05834960937464386 0.050659179687190796 0.12097167968676165 0.2421874999985218 0.16271972656150682 0.07293701171830483 0.0735473632808011 0.07647705078078322 0.10717773437434583
140,0.05566406249966025 0.07318115234330333 0.05352783203092329 0.10302734374937117 0.17742919921766706 0.12408447265549265 0.07037353515582047 0.08447265624948441 0.10858154296808727 0.14965820312408656
141,0.04797363281220719 0.06994628906207308 0.051635742187184835 0.11218261718681528 0.2059936523424927 0.13983154296789652 0.06732177734333909 0.08135986328075341 0.09100341796819456 0.13275146484293973
150,0.035339355468534304 0.061645507812123745 0.04431152343722954 0.11413574218680336 0.2421874999985218 0.15814208984278477 0.07586669921828694 0.07501220703079216 0.07794189453077428 0.11541748046804554
151,0.03839111328101568 0.0637817382808607 0.04681396484346427 0.11602783203054182 0.25665283202968353 0.15423583984280861 0.0697631835933242 0.07293701171830483 0.07482910156204328 0.10656738281184956
152,0.037719726562269774 0.06219482421837039 0.04608154296846874 0.11743164062428325 0.26904296874835787 0.15435791015530786 0.06848144531208201 0.07067871093706861 0.06988525390582345 0.10412597656186447
